Tea_ID,Tea_Type,Region,Site,Plot,Lat,Lon,Elevation,Initial,Depth,Burial,Recovery,Days,Season,Season2,Snow_Days,Final,Label,Tea_init,Tea_final,Loss,Treatment,Contributor,Soil moisture,Additional information
AUS_45_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_mid_Summer_2,-36.83058,147.32503,1880,2.371,8,16/12/15,17/03/16,92,Summer,Summer_Rooibos,169,NA,No,2.003,#VALUE!,#VALUE!,None,Susanna Venn,,Hole
AUS_46_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_mid_Summer_2,-36.83058,147.32503,1880,2.304,8,16/12/15,17/03/16,92,Summer,Summer_Rooibos,169,1.548,No,1.94,1.42446,0.27,None,Susanna Venn,,
AUS_47_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_mid_Summer_2,-36.83058,147.32503,1880,2.255,8,16/12/15,17/03/16,92,Summer,Summer_Rooibos,169,NA,No,1.893,#VALUE!,#VALUE!,None,Susanna Venn,,
AUS_48_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_mid_Summer_2,-36.83058,147.32503,1880,2.347,8,16/12/15,17/03/16,92,Summer,Summer_Rooibos,169,1.5378,No,1.98,1.41426,0.29,None,Susanna Venn,,
AUS_49_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_early_Year_1,-36.83058,147.32503,1880,2.198,8,16/12/15,04/01/17,385,Year,Year_Rooibos,153,0.987,No,1.84,0.86346,0.53,None,Susanna Venn,,
AUS_50_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_early_Year_1,-36.83058,147.32503,1880,2.33,8,16/12/15,04/01/17,385,Year,Year_Rooibos,153,1.2885,No,1.964,1.16496,0.41,None,Susanna Venn,,
AUS_51_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_early_Year_1,-36.83058,147.32503,1880,2.248,8,16/12/15,04/01/17,385,Year,Year_Rooibos,153,1.3378,No,1.887,1.21426,0.36,None,Susanna Venn,,
AUS_52_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_early_Year_1,-36.83058,147.32503,1880,2.263,8,16/12/15,04/01/17,385,Year,Year_Rooibos,153,0.9724,No,1.901,0.84886,0.55,None,Susanna Venn,,
AUS_53_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_early_Year_1,-36.83058,147.32503,1880,2.212,8,16/12/15,04/01/17,385,Year,Year_Rooibos,153,0.9597,No,1.853,0.83616,0.55,None,Susanna Venn,,
AUS_54_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_early_Year_1,-36.83058,147.32503,1880,2.227,8,16/12/15,04/01/17,385,Year,Year_Rooibos,153,NA,No,1.867,#VALUE!,#VALUE!,None,Susanna Venn,,
AUS_55_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_early_Summer_1,-36.83058,147.32503,1880,2.275,8,16/12/15,17/03/16,92,Summer,Summer_Rooibos,153,1.4562,No,1.912,1.33266,0.3,None,Susanna Venn,,
AUS_56_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_early_Summer_1,-36.83058,147.32503,1880,2.213,8,16/12/15,17/03/16,92,Summer,Summer_Rooibos,153,1.4381,No,1.854,1.31456,0.29,None,Susanna Venn,,
AUS_57_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_early_Summer_1,-36.83058,147.32503,1880,2.261,8,16/12/15,17/03/16,92,Summer,Summer_Rooibos,153,1.4516,No,1.899,1.32806,0.3,None,Susanna Venn,,
AUS_58_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_early_Summer_1,-36.83058,147.32503,1880,2.23,8,16/12/15,17/03/16,92,Summer,Summer_Rooibos,153,NA,No,1.87,#VALUE!,#VALUE!,None,Susanna Venn,,
AUS_59_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_early_Summer_1,-36.83058,147.32503,1880,2.268,8,16/12/15,17/03/16,92,Summer,Summer_Rooibos,153,NA,No,1.906,#VALUE!,#VALUE!,None,Susanna Venn,,
AUS_60_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_early_Summer_1,-36.83058,147.32503,1880,2.285,8,16/12/15,17/03/16,92,Summer,Summer_Rooibos,153,1.4814,No,1.922,1.35786,0.29,None,Susanna Venn,,
AUS_61_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_early_Year_2,-36.83058,147.32503,1880,2.252,8,16/12/15,04/01/17,385,Year,Year_Rooibos,153,1.4591,No,1.891,1.33556,0.29,None,Susanna Venn,,
AUS_62_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_early_Year_2,-36.83058,147.32503,1880,2.29,8,16/12/15,04/01/17,385,Year,Year_Rooibos,153,1.2973,No,1.927,1.17376,0.39,None,Susanna Venn,,
AUS_63_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_early_Year_2,-36.83058,147.32503,1880,2.268,8,16/12/15,04/01/17,385,Year,Year_Rooibos,153,1.3923,No,1.906,1.26876,0.33,None,Susanna Venn,,
AUS_64_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_early_Year_2,-36.83058,147.32503,1880,2.253,8,16/12/15,04/01/17,385,Year,Year_Rooibos,153,1.365,No,1.892,1.24146,0.34,None,Susanna Venn,,
AUS_65_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_early_Year_2,-36.83058,147.32503,1880,2.278,8,16/12/15,04/01/17,385,Year,Year_Rooibos,153,1.4337,No,1.915,1.31016,0.32,None,Susanna Venn,,
AUS_66_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_early_Year_2,-36.83058,147.32503,1880,2.188,8,16/12/15,04/01/17,385,Year,Year_Rooibos,153,1.3588,No,1.83,1.23526,0.33,None,Susanna Venn,,
AUS_67_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_early_Summer_2,-36.83058,147.32503,1880,2.177,8,16/12/15,17/03/16,92,Summer,Summer_Rooibos,153,1.4788,No,1.82,1.35526,0.26,None,Susanna Venn,,
AUS_68_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_early_Summer_2,-36.83058,147.32503,1880,2.222,8,16/12/15,17/03/16,92,Summer,Summer_Rooibos,153,1.4854,No,1.862,1.36186,0.27,None,Susanna Venn,,
AUS_69_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_early_Summer_2,-36.83058,147.32503,1880,2.241,8,16/12/15,17/03/16,92,Summer,Summer_Rooibos,153,1.4839,No,1.88,1.36036,0.28,None,Susanna Venn,,
AUS_70_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_early_Summer_2,-36.83058,147.32503,1880,2.244,8,16/12/15,17/03/16,92,Summer,Summer_Rooibos,153,1.4686,No,1.883,1.34506,0.29,None,Susanna Venn,,
AUS_71_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_early_Summer_2,-36.83058,147.32503,1880,2.253,8,16/12/15,17/03/16,92,Summer,Summer_Rooibos,153,1.4734,No,1.892,1.34986,0.29,None,Susanna Venn,,
AUS_72_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_early_Summer_2,-36.83058,147.32503,1880,2.268,8,16/12/15,17/03/16,92,Summer,Summer_Rooibos,153,1.4972,No,1.906,1.37366,0.28,None,Susanna Venn,,
AUS_73_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_late_Winter_1,-36.83058,147.32503,1880,2.214,8,17/03/16,04/01/17,293,Winter,Winter_Rooibos,179,1.5791,No,1.855,1.45556,0.22,None,Susanna Venn,,
AUS_74_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_late_Winter_1,-36.83058,147.32503,1880,2.169,8,17/03/16,04/01/17,293,Winter,Winter_Rooibos,179,1.5338,No,1.812,1.41026,0.22,None,Susanna Venn,,
AUS_75_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_late_Winter_1,-36.83058,147.32503,1880,2.249,8,17/03/16,04/01/17,293,Winter,Winter_Rooibos,179,1.5565,No,1.888,1.43296,0.24,None,Susanna Venn,,
